ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Complete_language,Source,Reference,Reference_type,Reference_URL
akan1250,Akan,Africa,6.34756,-1.33254,akan1250,aka,Atlantic-Congo [atla1278],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,,True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
bull1247,Bullom So,Africa,9.0,-13.16,bull1247,buy,Atlantic-Congo [atla1278],True,Childs-2011-Mani,Childs. (2011). A grammar of Mani. De Gruyter Mouton.,reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=835471.
cant1236,Cantonese,Eurasia,23.0118,113.2021,cant1236,,Sino-Tibetan [sino1245],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
cent1989,Central Khmer,Eurasia,12.0515,105.015,cent1989,khm,Austroasiatic [aust1305],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
doma1258,Domari,Eurasia,32.0,35.0,doma1258,rmt,Indo-European [indo1319],True,Matras-2012-Domari,"Matras, Y. (2012). A grammar of domari. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=912837.
dutc1256,Dutch,Eurasia,52.0,5.0,dutc1256,nld,Indo-European [indo1319],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
gitx1241,Gitxsan,North America,55.09,-128.08,gitx1241,git,Tsimshian [tsim1258],True,Matthewson-2013-Gitksan,"Matthewson, L. (2013). Gitksan Modals. International Journal of American Linguistics, 79(3), 349–394. https://doi.org/10.1086/670751",paper-journal,https://doi.org/10.1086/670751
goem1240,Goemai,Africa,8.74455,9.72453,goem1240,ank,Afro-Asiatic [afro1255],True,Hellwig-2011-Goemai,Hellwig. (2011). A grammar of Goemai. De Gruyter Mouton.,reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=787185.
haus1257,Hausa,Africa,11.1513,8.7804,haus1257,hau,Afro-Asiatic [afro1255],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
hebr1245,Modern Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,Afro-Asiatic [afro1255],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
hind1269,Hindi,Eurasia,25.0,77.0,hind1269,hin,Indo-European [indo1319],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
hinu1240,Hinuq,Eurasia,42.4502,45.8064,hinu1240,gin,Nakh-Daghestanian [nakh1245],True,Forker-2013-Hinuq,"Forker, D. (2013). A grammar of hinuq. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=1037924.
hung1274,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,Uralic [ural1272],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
hupd1244,Hup,South America,0.58622,-69.8359,hupd1244,jup,Naduhup [nada1235],True,Epps-2005-Hup,"Epps, P. (2005). A grammar of hup (Order No. 3202677). Available from ProQuest Dissertations & Theses Global. (305380992). https://www.proquest.com/dissertations-theses/grammar-hup/docview/305380992/se-2?accountid=14784",reference-grammar,https://www.proquest.com/dissertations-theses/grammar-hup/docview/305380992/se-2?accountid=14784
java1254,Javanese,Papunesia,-7.001,109.287,java1254,jav,Austronesian [aust1307],True,VanderKlok-2013-Javanese,"Vander Klok, Jozina. “Pure Possibility and Pure Necessity Modals in Paciran Javanese.” Oceanic Linguistics, vol. 52, no. 2, 2013, pp. 341–374.",paper-journal,https://www.jstor.org/stable/43286355
kore1280,Korean,Eurasia,37.54,126.98,kore1280,kor,Koreanic [kore1284],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
kumi1248,Tipai,North America,32.331,-116.604,kumi1248,dih,Cochimi-Yuman [coch1271],True,Miller-2001-Jamul-Tiipay,"Miller, A. (2001). A grammar of jamul tiipay. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=3042260.
kwaz1243,Kwaza,South America,-11.6667,-61.1833,kwaz1243,xwa,,True,Voort-2004-Kwaza,"Voort, H. V. D. (2004). A grammar of kwaza. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=325681.
lill1248,Lillooet,North America,50.7272,-122.04,lill1248,lil,Salishan [sali1255],True,Rullmann-etal-2008-Lillooet-Salish,"Rullmann, H., Matthewson, L., & Davis, H. (2008). Modals as distributive indefinites. Natural Language Semantics, 16(4), 317–357. http://www.jstor.org/stable/23748121",paper-journal,http://www.jstor.org/stable/23748121
logo1258,Logooli,Africa,0.09487,34.729,logo1258,rag,Atlantic-Congo [atla1278],True,Gluckman-etal-2020-Logoori,"Gluckman, J. & Bowler, M. (2020). The expression of modality in Logoori. Journal of African Languages and Linguistics, 41(2), 195-238. https://doi.org/10.1515/jall-2020-2010",paper-journal,https://doi.org/10.1515/jall-2020-2010
mand1415,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn,Sino-Tibetan [sino1245],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
mapu1245,Mapudungun,South America,-38.7392,-71.277,mapu1245,arn,Araucanian [arau1255],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset. Translated by James Engels and Ben Molineaux (2022)",elicitation,N/A
mian1256,Mian,Papunesia,-4.70881,141.523,mian1256,mpt,Nuclear Trans New Guinea [nucl1709],True,Fedden-2011-Mian,"Fedden, S. (2011). A grammar of mian. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=799437.
mode1248,Modern Greek,Eurasia,38.36,23.13,mode1248,ell,Indo-European [indo1319],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
nene1249,Tundra Nenets,Eurasia,66.1775,71.0234,nene1249,yrk,Uralic [ural1272],True,Nikolaeva-2014-Tundra-Nenets,"Nikolaeva, I. (2014). A grammar of tundra nenets. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=1778484.
nort2722,Northern Qiang,Eurasia,32.2766,103.192,nort2722,cng,Sino-Tibetan [sino1245],True,LaPolla-etal-2003-Qiang,"LaPolla, R. J., & Huang, C. (2003). A grammar of Qiang With annotated texts and glossary. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=325680.
nucl1301,Turkish,Eurasia,39.8667,32.8667,nucl1301,tur,Turkic [turk1311],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
nucl1417,Igbo,Africa,4.62705,7.23441,nucl1417,ibo,Atlantic-Congo [atla1278],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,Japonic [japo1237],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
pile1238,Vaeakau-Taumako,Papunesia,-10.173335,166.247188,pile1238,piv,Austronesian [aust1307],True,Næss-2011-Vaeakau-Taumako,"Næss, Å., Hovdhaugen, E., & Næss, Å. (2011). A grammar of vaeakau-taumako. De Gruyter, Inc..",reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=736991.
russ1263,Russian,Eurasia,59.0,50.0,russ1263,rus,Indo-European [indo1319],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
sich1238,Sichuan Yi,Eurasia,28.1947,102.121,sich1238,iii,Sino-Tibetan [sino1245],True,Gerner-etal-2013-Nuosu,Gerner. (2013). A grammar of Nuosu. De Gruyter Mouton.,reference-grammar,https://ebookcentral.proquest.com/lib/washington/detail.action?docID=1498689.
taga1270,Tagalog,Papunesia,14.06,121.747,taga1270,tgl,Austronesian [aust1307],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
thai1261,Thai,Eurasia,14.192,100.671,thai1261,tha,Tai-Kadai [taik1256],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
thar1283,Tharaka,Africa,-0.13221,38.073,thar1283,thk,Atlantic-Congo [atla1278],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
tlin1245,Tlingit,North America,59.4447,-135.29,tlin1245,tli,Athabaskan-Eyak-Tlingit [atha1245],True,Cable-2017-Tlingit,"Cable, S. (2017). The Expression of Modality in Tlingit: A Paucity of Grammatical Devices. International Journal of American Linguistics, 83(4), 619–678. https://doi.org/10.1086/692975",paper-journal,https://doi.org/10.1086/692975
viet1252,Vietnamese,Eurasia,20.681188,105.774071,viet1252,vie,Austroasiatic [aust1305],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
west2369,Western Farsi,Eurasia,32.9,53.3,west2369,pes,Indo-European [indo1319],True,Uegaki-Hannon-2022,"Uegaki, Wataru & Ella Hannon. 2022. Cross-linguistic dataset of force-flavour combinations in modal elements. Unpublished dataset.",elicitation,N/A
