ID,Value,UnitParameter_ID,UnitValue,Comment,Source
0-1,0,strong.epistemic,can,,
0-2,0,strong.deontic,cannot,,
1-1,1,weak.irrealis,can,,
2-1,2,strong.deontic,can,,
2-2,2,weak necessity.epistemic,can,,
2-3,2,strong.epistemic,cannot,,
2-4,2,weak necessity.deontic,cannot,,
3-1,3,strong.deontic,can,,
4-1,4,weak.bouletic,can,,
4-2,4,weak.intentional,cannot,,
5-1,5,strong.deontic,can,,
6-1,6,strong.ability,can,,
7-1,7,weak.deontic,can,,
8-1,8,weak.epistemic,cannot,,
8-2,8,weak.reportative,cannot,,
8-3,8,weak.circumstantial,cannot,,
8-4,8,strong.epistemic,cannot,,
8-5,8,strong.reportative,cannot,,
8-6,8,strong.deontic,cannot,,
8-7,8,strong.circumstantial,cannot,,
8-8,8,weak.deontic,can,,
9-1,9,weak.epistemic,cannot,,
9-2,9,weak.reportative,cannot,,
9-3,9,weak.deontic,cannot,,
9-4,9,strong.epistemic,cannot,,
9-5,9,strong.reportative,cannot,,
9-6,9,strong.deontic,cannot,,
9-7,9,strong.circumstantial,cannot,,
9-8,9,weak.circumstantial,can,,
10-1,10,weak.deontic,cannot,,
10-2,10,weak.circumstantial,cannot,,
10-3,10,strong.deontic,cannot,,
10-4,10,strong.circumstantial,cannot,,
10-5,10,weak.epistemic,can,,
10-6,10,weak.reportative,can,,
10-7,10,strong.epistemic,can,,
10-8,10,strong.reportative,can,,
11-1,11,weak.reportative,cannot,,
11-2,11,weak.deontic,cannot,,
11-3,11,weak.circumstantial,cannot,,
11-4,11,strong.reportative,cannot,,
11-5,11,strong.deontic,cannot,,
11-6,11,strong.circumstantial,cannot,,
11-7,11,weak.epistemic,can,,
11-8,11,strong.epistemic,can,,
12-1,12,weak.epistemic,cannot,,
12-2,12,weak.reportative,cannot,,
12-3,12,weak.deontic,cannot,,
12-4,12,weak.circumstantial,cannot,,
12-5,12,strong.epistemic,cannot,,
12-6,12,strong.reportative,cannot,,
12-7,12,strong.deontic,can,,
12-8,12,strong.circumstantial,can,,
13-1,13,weak.irrealis,can,,
14-1,14,strong.deontic,can,,
15-1,15,weak.irrealis,can,,
16-1,16,weak.deontic,can,,
17-1,17,weak.irrealis,can,,
17-2,17,weak.future,can,,
18-1,18,strong.intentional,can,,
19-1,19,weak.ability,can,,
20-1,20,weak.epistemic,can,,
21-1,21,weak.ability,can,,
22-1,22,weak.ability,can,,
23-1,23,weak.epistemic,cannot,,
23-2,23,weak.deontic,cannot,,
23-3,23,strong.epistemic,cannot,,
23-4,23,strong.deontic,cannot,,
23-5,23,strong.circumstantial,cannot,,
23-6,23,weak.circumstantial,can,,
23-7,23,weak.teleological,cannot,,
23-8,23,weak.bouletic,cannot,,
23-9,23,strong.teleological,cannot,,
23-10,23,strong.bouletic,cannot,,
24-1,24,weak.epistemic,cannot,,
24-2,24,weak.deontic,cannot,,
24-3,24,weak.circumstantial,cannot,,
24-4,24,weak.teleological,cannot,,
24-5,24,weak.bouletic,cannot,,
24-6,24,strong.epistemic,cannot,,
24-7,24,strong.bouletic,cannot,,
24-8,24,strong.deontic,can,,
24-9,24,strong.circumstantial,can,,
24-10,24,strong.teleological,can,,
25-1,25,weak.epistemic,cannot,,
25-2,25,weak.deontic,cannot,,
25-3,25,weak.circumstantial,cannot,,
25-4,25,weak.teleological,cannot,,
25-5,25,weak.bouletic,cannot,,
25-6,25,strong.epistemic,cannot,,
25-7,25,strong.deontic,cannot,,
25-8,25,strong.circumstantial,cannot,,
25-9,25,strong.teleological,cannot,,
25-10,25,strong.bouletic,can,,
26-1,26,weak.epistemic,cannot,,
26-2,26,weak.deontic,cannot,,
26-3,26,weak.circumstantial,cannot,,
26-4,26,strong.deontic,cannot,,
26-5,26,strong.circumstantial,cannot,,
26-6,26,strong.epistemic,can,,
26-7,26,weak.teleological,cannot,,
26-8,26,weak.bouletic,cannot,,
26-9,26,strong.teleological,cannot,,
26-10,26,strong.bouletic,cannot,,
27-1,27,weak.epistemic,cannot,,
27-2,27,weak.circumstantial,cannot,,
27-3,27,strong.epistemic,cannot,,
27-4,27,strong.deontic,cannot,,
27-5,27,strong.circumstantial,cannot,,
27-6,27,weak.deontic,can,,
27-7,27,weak.teleological,cannot,,
27-8,27,weak.bouletic,cannot,,
27-9,27,strong.teleological,cannot,,
27-10,27,strong.bouletic,cannot,,
28-1,28,weak.circumstantial,cannot,,
28-2,28,strong.epistemic,cannot,,
28-3,28,strong.circumstantial,cannot,,
28-4,28,weak.epistemic,can,,
28-5,28,weak.deontic,cannot,,
28-6,28,weak.teleological,cannot,,
28-7,28,weak.bouletic,cannot,,
28-8,28,strong.deontic,cannot,,
28-9,28,strong.teleological,cannot,,
28-10,28,strong.bouletic,cannot,,
29-1,29,strong.deontic,can,,
30-1,30,strong.deontic,can,,
31-1,31,weak.irrealis,can,,
32-1,32,weak.necessity.hortative,can,,
33-1,33,weak.irealis,can,,
34-1,34,strong.bouletic,can,,
35-1,35,strong.ability,can,,
36-1,36,strong.ability,can,,
37-1,37,weak.ability,can,,
38-1,38,strong.future,can,,
39-1,39,strong.bouletic,can,,
40-1,40,weak.deontic,can,,
40-2,40,weak.ability,can,,
41-1,41,strong.ability,can,,
42-1,42,weak.deontic,can,,
43-1,43,stong.deontic,can,,
44-1,44,strong.intentional,can,,
45-1,45,strong.ability,can,,
46-1,46,strong.bouletic,can,,
47-1,47,strong.deontic,can,,
47-2,47,weak necessity.deontic,can,,
47-3,47,strong.epstemic,can,,
47-4,47,weak necessity.epstemic,can,,
48-1,48,strong.intentional,can,,
48-2,48,strong.bouletic,can,,
48-3,48,strong.deontic,can,,
49-1,49,strong.bouletic,can,,
49-2,49,strong.intentional,can,,
50-1,50,weak.deontic,can,,
51-1,51,weak necessity.deontic,can,,
51-2,51,strong.deontic,cannot,,
52-1,52,strong.volitional,can,,
53-1,53,strong.deontic,can,,
53-2,53,strong.circumstantial,cannot,,
54-1,54,weak.epistemic,can,,
54-2,54,weak.permissive,can,,
54-3,54,weak.ability,can,,
54-4,54,weak.deontic,cannot,,
55-1,55,weak.epistemic,can,,
56-1,56,weak.volitional,can,,
57-1,57,weak necessity.intentional,can,,
58-1,58,weak.deontic,can,,
58-2,58,weak.permissive,can,,
58-3,58,weak.ability,can,,
59-1,59,weak.intentional,can,,
60-1,60,strong.intentional,can,,
61-1,61,weak necessity.intentional,can,,
62-1,62,strong.bouletic,can,,
63-1,63,weak.deontic,can,,
64-1,64,weak.deontic,can,,
65-1,65,weak.ability,can,,
66-1,66,strong.epistemic,cannot,,
66-2,66,weak.circumstantial,cannot,,
66-3,66,strong.deontic,cannot,,
66-4,66,strong.circumstantial,can,,
66-5,66,weak.epistemic,cannot,,
66-6,66,weak.deontic,cannot,,
67-1,67,strong.epistemic,cannot,,
67-2,67,weak.circumstantial,cannot,,
67-3,67,weak.deontic,cannot,,
67-4,67,weak.epistemic,can,,
67-5,67,strong.circumstantial,cannot,,
67-6,67,strong.deontic,cannot,,
68-1,68,strong.epistemic,cannot,,
68-2,68,weak.circumstantial,cannot,,
68-3,68,weak.deontic,cannot,,
68-4,68,weak.epistemic,can,,
68-5,68,strong.circumstantial,cannot,,
68-6,68,strong.deontic,cannot,,
69-1,69,weak.epistemic,cannot,,
69-2,69,strong.circumstantial,cannot,,
69-3,69,weak.deontic,cannot,,
69-4,69,weak.circumstantial,can,,
69-5,69,strong.epistemic,cannot,,
69-6,69,strong.deontic,cannot,,
70-1,70,strong.epistemic,cannot,,
70-2,70,weak.circumstantial,cannot,,
70-3,70,weak.deontic,cannot,,
70-4,70,weak.epistemic,can,,
70-5,70,strong.circumstantial,cannot,,
70-6,70,strong.deontic,cannot,,
